2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,Difference
164.99,169.77,176.42,158.66,149.24,136.51,28.480000000000018
49.68,48.4,47.64,42.69,39.55,37.81,11.869999999999997
83.61,85.45,86.86,87.14,77.03,78.91,4.700000000000003
79.55,87.73,88.54,81.02,85.71,76.19,3.3599999999999994
185.42,201.16,210.57,205.21,180.59,163.26,22.159999999999997
56.03,54.83,59.42,58.48,58.13,59.48,-3.4499999999999957
124.79,130.78,138.0,117.87,102.86,85.66,39.13000000000001
277.93,309.53,329.81,351.14,345.12,318.24,-40.31
162.48,157.08,160.16,131.75,132.98,93.32,69.16
33.93,39.15,45.86,47.0,45.48,45.48,-11.549999999999997
17.05,18.91,19.9,19.86,16.73,13.6,3.450000000000001
79.88,85.37,84.74,79.85,75.22,59.14,20.739999999999995
53.16,54.84,52.9,51.57,42.85,34.24,18.919999999999995
75.75,80.77,85.31,82.56,77.07,71.62,4.1299999999999955
213.26,236.33,234.99,238.71,219.61,199.61,13.649999999999977
86.5,87.12,86.38,93.35,86.51,91.49,-4.989999999999995
69.43,69.01,67.75,64.59,50.46,28.47,40.96000000000001
60.74,65.38,73.04,80.28,81.85,56.37,4.3700000000000045
158.75,162.52,161.58,163.2,151.88,137.06,21.689999999999998
105.4,113.94,108.15,99.39,94.03,89.79,15.61
252.29,277.34,279.04,257.1,218.35,173.95,78.34
116.04,120.03,124.54,129.32,114.99,92.02,24.02000000000001
176.11,184.94,191.17,186.64,190.67,177.1,-0.9899999999999807
100.0,106.91,112.2,102.79,85.88,33.65,66.35
53.34,53.0,54.72,59.36,52.12,48.29,5.050000000000004
106.42,111.35,112.45,118.54,105.25,91.73,14.689999999999998
1258.8,1304.09,1339.39,1432.78,1339.25,1161.95,96.84999999999991
1260.11,1304.96,1337.02,1434.23,1339.33,1162.81,97.29999999999995
44.79,49.7,49.91,47.53,40.37,38.67,6.119999999999997
1776.66,1800.8,1847.84,2008.72,1883.75,1949.72,-173.05999999999995
77.7,74.33,76.8,82.05,79.0,72.83,4.8700000000000045
30.06,28.74,28.68,26.84,19.05,12.19,17.869999999999997
94.39,91.35,94.51,104.22,89.26,79.98,14.409999999999997
117.28,120.12,124.49,129.87,109.93,85.61,31.67
52.96,52.66,51.33,50.26,42.16,24.25,28.71
218.08,214.03,229.82,231.74,226.8,217.75,0.3300000000000125
123.27,121.03,122.85,136.2,123.66,119.56,3.7099999999999937
150.89,163.87,166.58,165.41,141.3,102.48,48.40999999999998
85.38,87.91,85.02,85.56,84.32,88.5,-3.1200000000000045
91.65,99.01,99.74,97.15,86.0,72.02,19.63000000000001
213.25,234.72,241.07,216.05,199.73,202.73,10.52000000000001
100.33,104.0,108.23,99.47,91.68,72.88,27.450000000000003
106.63,112.95,118.84,109.75,109.05,89.65,16.97999999999999
220.15,254.69,257.41,274.33,242.19,232.47,-12.319999999999993
269.08,288.66,302.03,265.28,257.09,227.04,42.03999999999999
193.16,203.61,208.29,220.25,208.0,165.04,28.120000000000005
21.66,22.28,25.59,27.44,24.92,4.18,17.48
54.88,53.77,51.65,52.71,47.84,35.15,19.730000000000004
248.76,267.25,293.65,309.51,273.36,254.29,-5.530000000000001
54.26,57.9,61.04,57.99,58.12,45.82,8.439999999999998
89.55,93.88,94.97,84.79,78.11,49.24,40.309999999999995
42.04,42.93,46.35,44.76,37.65,35.18,6.859999999999999
91.22,93.27,95.23,102.57,97.49,81.51,9.709999999999994
126.07,132.87,131.08,130.56,120.59,104.09,21.97999999999999
38.49,37.38,39.08,37.62,35.22,29.15,9.340000000000003
147.36,180.9,183.46,196.85,190.88,156.1,-8.73999999999998
162.23,170.78,170.5,171.39,154.74,136.68,25.549999999999983
1144.38,1177.92,1191.31,1057.96,1032.51,846.0,298.3800000000001
217.66,214.41,209.7,216.69,200.59,147.17,70.49000000000001
127.86,130.37,130.82,131.24,114.49,101.87,25.989999999999995
21.4,22.42,25.63,21.66,16.09,10.5,10.899999999999999
69.97,66.06,64.67,72.18,70.46,64.66,5.310000000000002
31.27,33.32,35.22,32.83,28.5,21.23,10.04
76.7,81.97,83.62,89.22,83.47,81.19,-4.489999999999995
256.0,258.5,271.97,275.18,237.82,229.77,26.22999999999999
212.58,220.3,226.5,224.43,206.34,182.83,29.75
71.83,80.64,87.8,84.69,75.65,57.0,14.829999999999998
298.71,299.81,296.73,268.85,308.39,316.38,-17.670000000000016
461.7,494.91,502.7,527.35,463.01,439.97,21.72999999999996
24.99,24.38,23.48,23.2,20.67,14.08,10.909999999999998
339.91,366.18,325.76,318.27,275.11,149.14,190.77000000000004
2048.77,1904.03,2053.73,1830.55,1695.66,1345.32,703.45
41.68,42.05,43.38,34.29,31.6,24.37,17.31
137.2,138.54,137.86,143.35,128.94,92.23,44.969999999999985
41.7,43.25,45.22,41.87,37.39,32.63,9.07
37.76,41.16,39.23,38.9,35.84,24.17,13.589999999999996
57.37,56.94,64.19,62.95,59.06,55.74,1.6299999999999955
292.85,316.21,316.02,305.16,272.62,237.1,55.75000000000003
75.64,76.85,78.2,72.22,68.9,66.2,9.439999999999998
18.64,15.94,17.41,14.09,13.93,17.19,1.4499999999999993
65.35,70.25,69.36,72.11,66.14,66.04,-0.6900000000000119
46.31,46.57,49.42,48.39,45.12,46.16,0.15000000000000568
93.25,100.01,102.91,99.8,88.26,50.42,42.83
49.45,55.03,50.58,51.21,52.12,47.94,1.5100000000000051
93.17,97.26,87.67,97.04,87.31,53.83,39.34
42.89,45.08,50.83,43.53,33.46,13.17,29.72
137.8,144.73,147.68,131.35,124.24,116.04,21.760000000000005
115.15,118.9,120.0,123.22,114.0,89.25,25.900000000000006
53.55,57.02,61.29,61.05,56.14,37.71,15.839999999999996
53.08,60.47,62.87,62.81,53.02,59.41,-6.329999999999998
29.07,24.56,27.27,26.48,23.02,15.45,13.620000000000001
12.94,14.49,13.21,13.66,12.07,9.46,3.4799999999999986
67.12,71.59,73.39,71.83,69.27,62.99,4.130000000000003
45.35,46.21,47.74,40.28,36.86,27.2,18.150000000000002
40.71,49.5,47.56,45.55,40.75,33.62,7.090000000000003
467.86,470.01,485.08,517.46,493.17,436.31,31.55000000000001
116.14,117.13,120.51,107.14,93.34,72.46,43.68000000000001
778.16,813.92,837.11,866.76,773.58,654.4,123.75999999999999
152.42,151.48,155.66,151.99,145.03,111.69,40.72999999999999
69.94,70.24,70.34,74.22,69.52,64.18,5.759999999999991
178.46,199.92,204.49,192.38,182.94,177.18,1.2800000000000011
42.22,45.97,52.49,43.89,33.05,16.83,25.39
113.21,107.05,105.15,104.95,93.24,75.45,37.75999999999999
268.67,257.06,269.08,278.97,266.74,173.22,95.45000000000002
47.51,45.31,47.96,45.97,39.93,39.31,8.199999999999996
71.86,75.12,79.89,74.41,63.46,42.12,29.740000000000002
35.16,38.46,40.61,37.28,31.69,18.81,16.349999999999998
108.86,112.81,110.9,121.22,103.39,141.55,-32.69000000000001
205.75,202.73,200.72,217.11,198.82,172.91,32.84
63.92,61.3,62.84,68.51,60.42,58.75,5.170000000000002
54.43,53.4,55.35,58.4,53.49,44.25,10.18
60.94,64.11,62.02,61.38,60.93,46.47,14.469999999999999
68.6,67.82,68.84,73.78,67.57,66.36,2.239999999999995
44.82,44.15,44.97,43.19,40.43,34.38,10.439999999999998
65.42,70.41,71.75,61.16,52.64,29.34,36.08
27.05,28.87,34.24,32.92,26.69,29.34,-2.289999999999999
67.52,72.56,87.57,75.78,68.02,42.85,24.669999999999995
55.2,59.94,65.03,59.43,48.42,30.8,24.400000000000002
92.22,86.89,90.47,94.0,78.82,78.0,14.219999999999999
190.33,186.06,189.75,188.3,172.38,143.36,46.97
29.63,29.04,29.11,26.69,23.86,20.54,9.09
297.11,299.81,293.92,305.52,281.14,285.13,11.980000000000018
11.69,11.54,11.25,10.26,9.23,5.16,6.529999999999999
138.79,133.66,142.15,149.84,143.29,144.4,-5.610000000000014
70.27,71.54,72.36,76.34,70.45,57.3,12.969999999999999
172.48,182.86,178.96,159.97,151.29,135.32,37.16
66.39,75.27,74.29,67.82,59.18,59.33,7.060000000000002
52.37,55.35,52.75,59.2,53.27,34.0,18.369999999999997
137.82,145.98,153.48,160.87,144.58,138.41,-0.5900000000000034
112.27,118.44,109.01,116.43,97.5,54.46,57.809999999999995
58.6,71.77,75.03,79.87,77.62,76.06,-17.46
174.14,168.05,173.26,158.58,156.48,138.16,35.97999999999999
55.08,57.31,58.48,55.74,46.13,28.53,26.549999999999997
54.78,56.54,56.59,56.0,49.24,38.83,15.950000000000003
20.28,21.89,25.97,21.72,16.24,6.91,13.370000000000001
127.04,120.95,119.74,122.99,120.11,138.91,-11.86999999999999
80.26,84.87,84.82,75.13,65.58,35.67,44.59
26.955,32.94,32.74,29.26,25.7,19.44,7.514999999999997
25.24,30.52,30.49,27.77,25.1,17.54,7.699999999999999
34.38,34.17,35.47,36.76,33.52,19.99,14.390000000000004
160.34,157.36,155.98,153.41,150.3,151.01,9.330000000000013
110.4,91.46,94.05,87.07,83.03,73.47,36.93000000000001
82.55,83.11,82.82,85.75,78.18,72.19,10.36
103.89,111.48,115.26,113.85,102.74,83.94,19.950000000000003
127.32,124.94,129.87,132.61,111.67,94.97,32.349999999999994
94.26,88.17,91.21,97.63,91.7,80.88,13.38000000000001
35.14,35.18,34.67,36.31,32.47,32.38,2.759999999999998
27.67,37.33,37.59,31.88,24.11,13.05,14.620000000000001
41.79,44.3,45.37,42.62,45.78,34.32,7.469999999999999
76.04,78.37,79.26,71.27,61.51,46.58,29.460000000000008
87.11,92.5,94.72,94.47,90.72,77.69,9.420000000000002
35.25,35.52,36.11,33.56,34.64,30.06,5.190000000000001
192.07,186.67,192.99,196.11,180.45,155.83,36.23999999999998
62.9,69.1,75.41,76.55,67.19,54.79,8.11
238.38,244.94,233.29,219.86,204.84,188.62,49.75999999999999
96.4,101.01,107.51,107.92,101.37,100.17,-3.769999999999996
70.15,73.86,76.26,71.63,64.11,47.65,22.500000000000007
121.48,116.39,119.8,131.52,116.91,93.97,27.510000000000005
69.31,70.9,83.76,72.91,63.26,35.92,33.39
10.74,8.73,10.9,6.05,5.87,7.07,3.67
136.71,139.64,140.12,149.9,142.04,119.45,17.260000000000005
566.78,566.85,583.7,589.73,572.8,624.57,-57.79000000000008
88.66,85.1,80.92,83.08,75.1,61.71,26.949999999999996
327.13,312.18,300.86,309.76,283.36,220.24,106.88999999999999
186.27,195.47,206.54,195.16,183.6,159.34,26.930000000000007
257.09,271.26,276.84,276.57,247.88,192.42,64.66999999999999
83.74,82.64,85.07,92.44,86.46,78.21,5.530000000000001
45.49,44.4,45.59,47.59,43.11,36.81,8.68
136.66,101.66,108.14,108.45,98.62,56.27,80.38999999999999
72.94,74.76,78.02,73.04,70.42,66.72,6.219999999999999
112.27,106.05,105.62,110.68,100.36,95.76,16.50999999999999
67.57,68.13,69.78,62.12,51.44,37.97,29.599999999999994
144.08,145.71,139.65,122.12,119.95,106.63,37.45000000000002
191.65,201.64,205.25,201.91,192.47,166.8,24.849999999999994
35.94,35.52,36.95,34.88,34.22,31.25,4.689999999999998
136.01,132.07,128.73,125.02,116.34,74.61,61.39999999999999
152.66,160.05,151.21,144.64,141.17,121.26,31.39999999999999
131.76,138.15,139.09,143.66,139.72,121.64,10.11999999999999
29.08,30.19,30.74,28.45,24.4,14.85,14.229999999999999
48.32,47.69,48.6,50.79,44.53,40.07,8.25
106.14,116.24,115.63,118.61,109.36,94.99,11.150000000000006
51.56,53.56,52.07,51.54,42.47,31.89,19.67
48.84,48.7,49.77,46.68,40.19,23.89,24.950000000000003
16.11,17.44,18.88,17.89,9.32,6.91,9.2
91.5,97.96,99.82,95.59,93.1,81.69,9.810000000000002
43.51,40.05,38.99,37.97,36.25,22.05,21.459999999999997
8.59,9.06,9.3,8.82,6.96,4.83,3.76
69.0,72.17,76.39,74.93,69.16,55.19,13.810000000000002
60.05,63.26,65.34,68.71,61.75,43.25,16.799999999999997
27.55,27.49,25.98,25.3,21.76,16.69,10.86
9.82,11.38,13.12,11.1,9.96,6.75,3.0700000000000003
16.26,16.61,17.68,17.41,14.33,7.04,9.220000000000002
93.75,97.69,97.56,96.95,88.39,74.96,18.790000000000006
154.08,160.46,154.1,160.78,129.39,99.57,54.51000000000002
176.8,181.74,176.35,175.44,159.69,132.31,44.49000000000001
9.98,11.27,11.16,12.45,10.88,7.94,2.04
50.86,53.32,53.56,52.22,49.0,52.77,-1.9100000000000037
37.16,36.0,36.6,33.39,30.5,20.78,16.379999999999995
102.58,104.37,106.23,93.57,87.24,67.33,35.25
63.71,67.24,64.98,63.2,69.36,74.76,-11.050000000000004
169.18,181.1,182.56,195.45,183.97,144.23,24.950000000000017
213.38,221.35,229.93,237.75,200.77,154.59,58.78999999999999
15.87,15.99,15.555,13.13,9.685,5.82,10.049999999999999
308.84,316.95,338.52,302.67,277.54,248.5,60.339999999999975
19.25,20.99,24.47,21.81,16.96,6.85,12.4
15.21,15.07,14.85,13.76,13.24,7.87,7.340000000000001
38.91,36.38,37.19,33.4,30.47,18.93,19.979999999999997
206.31,201.09,197.87,221.33,197.73,180.12,26.189999999999998
57.08,61.86,60.77,59.28,49.95,35.24,21.839999999999996
97.31,101.7,105.61,101.87,77.25,71.55,25.760000000000005
133.54,138.66,147.81,138.8,127.01,89.85,43.69
37.62,34.88,34.47,35.99,31.64,23.85,13.769999999999996
37.5,39.53,45.43,40.55,36.89,15.65,21.85
62.585,68.9,66.72,68.94,60.94,50.52,12.064999999999998
65.75,62.09,66.81,56.57,56.18,33.3,32.45
16.41,15.83,15.86,13.93,12.79,9.71,6.699999999999999
96.96,105.0,110.91,107.8,97.2,68.24,28.72
48.31,51.32,52.21,53.52,47.12,35.1,13.21
234.58,220.51,218.38,228.1,217.84,186.71,47.870000000000005
172.73,178.55,177.0,173.22,162.17,133.79,38.94
40.89,44.53,45.11,47.26,41.6,46.64,-5.75
16.39,17.49,18.55,16.34,14.48,11.04,5.350000000000001
17.37,20.08,20.55,21.32,20.79,17.36,0.010000000000001563
294.2,341.23,366.52,336.24,319.68,314.02,-19.819999999999993
14.13,14.89,15.08,13.57,12.27,8.21,5.92
225.66,251.67,250.88,261.0,205.53,182.21,43.44999999999999
285.01,251.58,261.13,271.01,254.51,242.24,42.76999999999998
70.02,72.65,75.35,78.86,71.24,60.0,10.019999999999996
168.58,174.33,179.63,174.98,167.78,142.12,26.460000000000008
295.52,320.76,331.74,290.07,265.67,273.12,22.399999999999977
83.92,94.16,87.32,73.07,75.41,73.23,10.689999999999998
31.83,33.87,36.68,35.31,32.79,24.8,7.029999999999998
56.53,58.05,59.85,63.93,55.52,54.12,2.4100000000000037
94.32,94.17,92.55,99.74,89.22,80.75,13.569999999999993
